Araba,01,es-vi
Albacete,02,es-ab
Alacant,03,es-a
Almería,04,es-al
Avila,05,es-av
Badajoz,06,es-ba
Illes Balears,07,es-ib
Barcelona,08,es-b
Burgos,09,es-bu
Cáceres,10,es-cc
Cádiz,11,es-ca
Castelló,12,es-cs
Ciudad Real,13,es-cr
Córdoba,14,es-co
A Coruña,15,es-c
Cuenca,16,es-cu
Girona,17,es-gi
Granada,18,es-gr
Guadalajara,19,es-gu
Gipuzkoa,20,es-ss
Huelva,21,es-h
Huesca,22,es-hu
Jaén,23,es-j
León,24,es-le
Lleida,25,es-l
La Rioja,26,es-lo
Lugo,27,es-lu
Madrid,28,es-m
Málaga,29,es-ma
Murcia,30,es-mu
Navarra,31,es-na
Ourense,32,es-or
Asturias,33,es-o
Palencia,34,es-p
Las Palmas,35,es-gc
Pontevedra,36,es-po
Salamanca,37,es-sa
Santa Cruz de Tenerife,38,es-tf
Cantabria,39,es-s
Segovia,40,es-sg
Sevilla,41,es-se
Soria,42,es-so
Tarragona,43,es-t
Teruel,44,es-te
Toledo,45,es-to
València,46,es-v
Valladolid,47,es-va
Bizkaia,48,es-bi
Zamora,49,es-za
Zaragoza,50,es-z
Ceuta,51,es-ce
Melilla,52,es-ml
Test,9999,test
